;;;0.999965;3.00004;2.6101e-09; 119;5;1.00002;2.99994;1.01153e-08; 99;4;1;3;1.68022e-21; 111;3;3
-7.79039;0.765872;;0.994109;3.00589;6.94039e-05; 1;60;0.998446;3.00148;4.61727e-06; 1;23;0.982276;2.9955;0.00231091; 1;121;121
;;;1.8356e+65;1.8356e+65;6.06494e+131; 1;1001;0.999366;3.00062;7.87434e-07; 1;27;0.99316;2.99826;0.000344136; 1;56;56
;;;0.999891;3.00011;2.49707e-08; 187;7;0.999959;3.00004;3.40034e-09; 151;6;1;3;2.35117e-15; 61;2;2
-4.65325;1.6319;;0.994132;3.00587;6.8875e-05; 1;56;0.998595;3.00142;3.99958e-06; 1;22;0.981914;2.99562;0.00236457; 1;112;112
;;;1.16906e+65;1.16906e+65;2.46007e+131; 1;1001;0.999343;3.00064;8.4804e-07; 1;26;0.993545;2.99844;0.000301181; 1;53;53
;;;0.999964;3.00004;2.63123e-09; 182;7;1.00001;2.99999;7.4186e-11; 103;4;1;3;5.22043e-14; 60;2;2
7.40054;-9.87777;;1.00604;2.99396;7.29557e-05; 1;70;1.00119;2.99888;2.69085e-06; 1;26;1.00813;2.98364;0.000604965; 1;130;130
;;;1.07847e+65;1.07847e+65;2.09356e+131; 1;1001;0.999562;3.00046;4.05883e-07; 1;39;1.00299;2.99399;8.15669e-05; 1;60;60
;;;1.00079;2.99926;1.17991e-06; 501;21;1.00001;3;5.2867e-11; 117;5;1;3;3.62739e-21; 110;3;3
3.80721;7.66375;;0.994094;3.00591;6.97688e-05; 1;48;0.998543;3.0014;4.08726e-06; 1;20;1.00945;3.01571;0.00286798; 1;111;111
;;;-1.24392e+65;-1.24392e+65;2.78522e+131; 1;1001;0.999579;3.00038;3.29607e-07; 1;24;1.00364;3.00605;0.000425729; 1;52;52
;;;0.99974;3.00025;1.30404e-07; 241;9;0.998743;3.00148;3.97336e-06; 92;4;1;3;1.4607e-14; 62;2;2
-2.4749;-8.78914;;1.00605;2.99395;7.32295e-05; 1;62;1.00128;2.99864;3.4966e-06; 1;24;0.99485;2.98253;0.00237921; 1;127;127
;;;2.54148e+65;2.54148e+65;1.16264e+132; 1;1001;1.00065;2.99941;7.85786e-07; 1;28;0.998157;2.99375;0.000304504; 1;59;59
;;;1.00095;2.99932;1.6755e-06; 90;4;1.00006;2.99994;6.85465e-09; 145;6;1;3;8.97979e-15; 57;2;2
3.61909;-5.23826;;1.00576;2.99424;6.63657e-05; 1;65;1.00139;2.99853;4.13448e-06; 1;24;1.00556;2.98251;0.000905574; 1;120;120
;;;9.35599e+64;9.35599e+64;1.57562e+131; 1;1001;1.00055;2.99942;6.4576e-07; 1;22;1.00204;2.99359;0.000121708; 1;56;56
;;;1.00042;2.9996;3.40531e-07; 372;15;1.00001;2.99999;4.09847e-10; 155;6;1;3;7.69852e-21; 110;3;3
-3.64328;7.13457;;0.99425;3.00575;6.61155e-05; 1;63;0.998649;3.00127;3.4706e-06; 1;23;0.985888;3.01257;0.000366619; 1;113;113
;;;8.47004e+63;8.47004e+63;1.29135e+129; 1;1001;0.999479;3.00052;5.41139e-07; 1;14;0.994698;3.00472;5.1742e-05; 1;53;53
;;;0.998308;3.00151;5.27098e-06; 649;26;0.999999;3;3.54711e-12; 142;5;1;3;1.52959e-21; 113;3;3
-6.32343;3.60026;;0.994233;3.00577;6.65114e-05; 1;62;0.998848;3.00108;2.52055e-06; 1;24;0.981871;3.00149;0.00143885; 1;117;117
;;;1.11942e+65;1.11942e+65;2.25556e+131; 1;1001;0.999328;3.00065;8.78846e-07; 1;26;0.993525;3.00053;0.000183564; 1;55;55
;;;0.999537;3.00048;4.45301e-07; 219;9;0.999996;3;3.33369e-11; 167;6;1;3;1.2512e-14; 59;2;2
-8.85056;-9.53429;;1.00622;2.99378;7.74789e-05; 1;51;1.00146;2.9986;4.08574e-06; 1;21;0.988703;2.98562;0.00297061; 1;132;132
